B_avg_TOTAL_STR_landed,B_avg_opp_TOTAL_STR_att,B_avg_HEAD_att,B_avg_DISTANCE_att,B_avg_CTRL_time(seconds),B_avg_opp_CTRL_time(seconds),B_total_time_fought(seconds),B_total_rounds_fought,B_Height_cms,B_Reach_cms,R_avg_opp_SIG_STR_landed,R_avg_HEAD_att,R_avg_DISTANCE_landed,R_avg_opp_DISTANCE_att,R_avg_opp_GROUND_landed,R_avg_CTRL_time(seconds),R_avg_opp_CTRL_time(seconds),R_total_time_fought(seconds),R_Height_cms,R_Reach_cms
48.0,85.25,51.125,48.375,99.75,94.5,638.5,0.0,182.88,182.88,27.818885803222656,54.0,18.25,50.296875,2.6875,104.125,89.53125,653.9375,193.04,182.88
87.625,74.0,28.0,28.0,283.0,217.0,900.0,3.0,167.64,170.18,18.0,102.0,38.0,88.0,0.0,323.796875,32.0,900.0,167.64,167.64
86.8125,148.625,60.9375,74.0625,42.5625,275.8466796875,900.0,12.0,175.26,180.34,57.5,104.66015625,37.765625,122.1015625,6.50390625,218.359375,268.83984375,900.0,170.18,170.18
1.0,37.0,7.0,9.0,0.0,150.0,179.0,1.0,182.88,182.88,24.5,61.5,28.5,66.0,1.5,323.796875,55.0,900.0,182.88,187.96
30.0,88.5,40.5,52.0,91.5,84.0,520.0,4.0,175.26,185.42,19.0,42.0,19.0,31.0,0.0,30.0,2.0,473.5,185.42,195.58
87.625,152.9375,106.25,115.609375,283.0,16.5,900.0,6.0,167.64,162.56,41.9609375,78.140625,23.8125,89.3828125,1.6953125,254.3125,129.9921875,864.4453125,172.72,172.72
13.5,9.0,6.0,0.5,0.0,0.0,340.0,2.0,190.5,182.88,1.5,0.0,1.0,1.0,1.5,0.0,0.0,187.5,185.42,182.88
6.0,64.0,6.0,7.0,0.0,188.0,242.0,1.0,182.88,185.42,30.0,76.375,25.75,46.25,8.75,165.75,276.0,823.75,187.96,185.42
41.0,32.0,23.0,4.0,156.0,1.0,190.0,1.0,193.04,182.88,57.15625,94.6875,26.84375,116.625,3.4375,64.4375,184.53125,860.625,193.04,195.58
48.0,85.25,51.125,48.375,99.75,94.5,638.5,0.0,182.88,182.88,27.818885803222656,54.0,18.25,50.296875,2.6875,104.125,89.53125,653.9375,187.96,195.58
48.0,85.25,51.125,48.375,99.75,94.5,638.5,0.0,182.88,182.88,27.818885803222656,54.0,18.25,50.296875,2.6875,104.125,89.53125,653.9375,185.42,187.96
11.1875,38.453125,10.53125,10.609375,68.921875,116.953125,319.734375,12.0,180.34,190.5,23.04345703125,21.5322265625,7.38916015625,23.02685546875,7.369140625,21.380859375,153.033203125,291.63134765625,182.88,187.96
48.69337487220764,92.41377639770508,61.3988995552063,62.43014979362488,188.4655725955963,68.31263732910156,582.3476409912109,24.0,172.72,172.72,24.4375,112.25,47.5,92.96875,0.8125,75.71875,89.40625,876.40625,172.72,177.8
48.0,85.25,51.125,48.375,99.75,94.5,638.5,0.0,190.5,193.04,57.5,101.0,25.0,73.0,6.0,91.0,82.0,551.0,190.5,193.04
40.0,66.96875,70.3125,74.0,58.65625,76.1875,627.03125,15.0,172.72,182.88,20.0,39.3125,8.0,22.0625,7.375,69.0,169.5625,389.25,177.8,180.34
48.0,85.25,51.125,48.375,99.75,94.5,638.5,0.0,180.34,182.88,29.34765625,103.19140625,32.53125,83.00390625,3.26171875,151.27734375,276.0,881.51953125,175.26,180.34
37.3125,126.8125,42.5,45.125,152.375,50.6875,570.5625,12.0,170.18,175.26,14.0,74.0,47.5,60.0,0.0,323.796875,0.0,900.0,167.64,162.56
24.8125,28.6875,20.8125,33.0625,0.0,0.0,738.75,5.0,185.42,182.88,16.25,13.75,9.875,10.75,10.9375,0.0,0.0,900.0,187.96,182.88
66.75,143.8125,82.2578125,61.8515625,264.6875,177.96875,837.28125,18.0,177.8,172.72,33.5,80.53125,30.09375,75.65625,8.1875,185.65625,276.0,825.40625,172.72,177.8
72.0,47.0,44.0,24.25,224.25,2.75,416.75,5.0,185.42,193.04,6.75,52.75,7.5,10.25,0.75,235.0,81.5,404.5,185.42,190.5
25.75,40.25,26.5,3.5,199.25,103.0,380.25,5.0,182.88,177.8,10.267822265625,15.747802734375,1.690673828125,6.66552734375,4.97705078125,207.27685546875,85.3095703125,367.43017578125,175.26,185.42
48.0,85.25,51.125,48.375,99.75,94.5,638.5,0.0,180.34,185.42,12.0,30.84375,12.6875,22.3125,2.6875,100.4375,163.84375,404.9375,187.96,185.42
58.0,84.0,82.0,107.0,101.0,271.0,900.0,3.0,182.88,190.5,34.5634765625,20.6376953125,14.0859375,52.85693359375,6.048828125,59.45263671875,81.91796875,489.06201171875,182.88,187.96
48.0,85.25,51.125,48.375,99.75,94.5,638.5,0.0,172.72,180.34,49.0,73.125,45.5,122.1015625,4.125,91.625,124.125,859.0,175.26,175.26
48.0,85.25,51.125,48.375,99.75,94.5,638.5,0.0,177.8,182.88,57.5,82.875,40.625,100.453125,6.765625,198.84375,119.34375,667.328125,187.96,185.42
48.0,85.25,51.125,48.375,99.75,94.5,638.5,0.0,180.34,172.72,27.818885803222656,54.0,18.25,50.296875,2.6875,104.125,89.53125,653.9375,172.72,182.88
66.0,126.75,75.5,84.25,227.25,82.5,718.5,7.0,167.64,175.26,57.5,114.0,41.65625,122.1015625,5.9375,137.75,177.84375,899.6875,165.1,170.18
72.5,137.625,106.25,115.609375,212.375,120.75,897.875,12.0,175.26,175.26,56.0,114.0,47.5,122.1015625,0.0,87.0,112.0,900.0,180.34,190.5
